PRODUCT,STORE,DATE,ORDER_QTY,PRODUCT_TYPE,DIVISION,
P1 1L,S1,6/14/2020,2521.6,SEASONAL,EAST,
P1 1L,S1,8/2/2020,1984,SEASONAL,EAST,
P1 1L,S1,2/28/2021,940.8,SEASONAL,EAST,
P1 1L,S1,6/6/2021,2995.2,SEASONAL,EAST,
P1 1L,S1,2/16/2020,0,SEASONAL,WEST,
P1 1L,S1,3/29/2020,0,SEASONAL,WEST,
P1 1L,S1,9/13/2020,217.6,SEASONAL,WEST,
P1 1L,S1,8/8/2021,1318.4,SEASONAL,WEST,
P1 1L,S1,12/22/2019,96,SEASONAL,NORTH,
P1 1L,S1,1/31/2021,332.8,SEASONAL,NORTH,
P1 1L,S1,2/7/2021,275.2,SEASONAL,NORTH,
P1 1L,S1,6/20/2021,3756.8,SEASONAL,NORTH,
P1 1L,S1,9/19/2021,1888,SEASONAL,NORTH,
P1 500ML,S1,3/17/2019,3432.96,SEASONAL,WEST,
P1 500ML,S1,9/8/2019,6972.16,SEASONAL,WEST,
P1 500ML,S1,6/7/2020,27269.12,SEASONAL,WEST,
P1 500ML,S1,12/13/2020,1169.92,SEASONAL,WEST,
P1 500ML,S1,2/14/2021,579.84,SEASONAL,WEST,
P1 500ML,S1,2/21/2021,1082.88,SEASONAL,WEST,
P1 500ML,S1,3/28/2021,9207.04,SEASONAL,WEST,
P1 500ML,S1,9/12/2021,7760.64,SEASONAL,WEST,
P1 500ML,S1,10/3/2021,3516.16,SEASONAL,WEST,
P1 500ML,S1,2/10/2019,57.6,SEASONAL,SOUTH,
P1 500ML,S1,5/5/2019,616.96,SEASONAL,SOUTH,
P1 500ML,S1,5/26/2019,472.32,SEASONAL,SOUTH,
P1 500ML,S1,1/12/2020,69.12,SEASONAL,SOUTH,
P1 500ML,S1,3/8/2020,207.36,SEASONAL,SOUTH,
P1 500ML,S1,7/26/2020,647.68,SEASONAL,SOUTH,
P1 500ML,S1,8/2/2020,590.08,SEASONAL,SOUTH,
P1 500ML,S1,10/11/2020,57.6,SEASONAL,SOUTH,
P1 500ML,S1,12/6/2020,53.76,SEASONAL,SOUTH,
P1 500ML,S1,3/7/2021,345.6,SEASONAL,SOUTH,
P1 500ML,S1,7/4/2021,509.44,SEASONAL,SOUTH,
P1 500ML,S1,1/2/2022,46.08,SEASONAL,SOUTH,
P2 4L,S1,2/17/2019,314.88,CONTINUOUS,WEST,
P2 4L,S1,9/29/2019,353.28,CONTINUOUS,WEST,
P2 4L,S1,12/22/2019,0,CONTINUOUS,WEST,
P2 4L,S1,1/26/2020,195.147541,CONTINUOUS,WEST,
P2 4L,S1,9/27/2020,5.12,CONTINUOUS,WEST,
P2 4L,S1,4/25/2021,5.12,CONTINUOUS,WEST,
P2 4L,S1,5/16/2021,6.632727273,CONTINUOUS,WEST,
P2 4L,S1,9/12/2021,0.498701298,CONTINUOUS,WEST,
P2 4L,S1,10/24/2021,25.6,CONTINUOUS,WEST,
P2 4L,S1,7/28/2019,309.76,CONTINUOUS,EAST,
P2 4L,S1,9/15/2019,332.8,CONTINUOUS,EAST,
P2 4L,S1,10/20/2019,220.16,CONTINUOUS,EAST,
P2 4L,S1,1/12/2020,337.92,CONTINUOUS,EAST,
P2 4L,S1,8/16/2020,366.08,CONTINUOUS,EAST,
P2 4L,S1,11/8/2020,581.12,CONTINUOUS,EAST,
P2 4L,S1,4/4/2021,547.84,CONTINUOUS,EAST,
P2 4L,S1,4/11/2021,698.88,CONTINUOUS,EAST,
P2 4L,S1,5/30/2021,611.84,CONTINUOUS,EAST,
P2 4L,S1,7/11/2021,430.08,CONTINUOUS,EAST,
P2 4L,S1,9/19/2021,0,CONTINUOUS,EAST,
P1 1L,S1,5/12/2019,1696,SEASONAL,EAST,
P1 1L,S1,8/25/2019,1894.4,SEASONAL,EAST,
P1 1L,S1,9/22/2019,1113.6,SEASONAL,EAST,
P1 1L,S1,5/31/2020,640,SEASONAL,EAST,
P1 1L,S1,6/7/2020,640,SEASONAL,EAST,
P1 1L,S1,10/18/2020,512,SEASONAL,EAST,
P1 1L,S1,11/29/2020,691.2,SEASONAL,EAST,
P1 1L,S1,7/25/2021,2118.4,SEASONAL,EAST,
P1 1L,S1,12/26/2021,1561.6,SEASONAL,EAST,
P1 1L,S1,6/23/2019,1363.2,SEASONAL,WEST,
P1 1L,S1,8/4/2019,1382.4,SEASONAL,WEST,
P1 1L,S1,12/8/2019,0,SEASONAL,WEST,
P1 1L,S1,6/21/2020,992,SEASONAL,WEST,
P1 1L,S1,8/30/2020,614.4,SEASONAL,WEST,
P1 1L,S1,10/4/2020,51.2,SEASONAL,WEST,
P1 1L,S1,11/29/2020,0,SEASONAL,WEST,
P1 1L,S1,2/7/2021,0,SEASONAL,WEST,
P1 1L,S1,3/21/2021,0,SEASONAL,WEST,
P1 1L,S1,11/7/2021,70.4,SEASONAL,WEST,
P1 1L,S1,1/27/2019,998.4,SEASONAL,NORTH,
P1 1L,S1,6/2/2019,3424,SEASONAL,NORTH,
P1 1L,S1,7/28/2019,5273.6,SEASONAL,NORTH,
P1 1L,S1,11/24/2019,448,SEASONAL,NORTH,
P1 1L,S1,4/5/2020,438.0444445,SEASONAL,NORTH,
P1 1L,S1,4/12/2020,281.6,SEASONAL,NORTH,
P1 1L,S1,4/19/2020,264.6646154,SEASONAL,NORTH,
P1 1L,S1,1/3/2021,243.2,SEASONAL,NORTH,
P1 1L,S1,7/18/2021,4153.6,SEASONAL,NORTH,
P1 1L,S1,8/29/2021,4518.4,SEASONAL,NORTH,
P1 1L,S1,12/19/2021,243.2,SEASONAL,NORTH,
P1 1L,S1,1/2/2022,185.6,SEASONAL,NORTH,
P1 500ML,S1,2/24/2019,1690.88,SEASONAL,WEST,
P1 500ML,S1,11/10/2019,454.4,SEASONAL,WEST,
P1 500ML,S1,12/22/2019,373.76,SEASONAL,WEST,
P1 500ML,S1,10/18/2020,865.28,SEASONAL,WEST,
P1 500ML,S1,10/25/2020,584.96,SEASONAL,WEST,
P1 500ML,S1,1/10/2021,506.88,SEASONAL,WEST,
P1 500ML,S1,3/7/2021,2502.4,SEASONAL,WEST,
P1 500ML,S1,4/18/2021,10364.16,SEASONAL,WEST,
P1 500ML,S1,10/31/2021,806.4,SEASONAL,WEST,
P1 500ML,S1,12/9/2018,46.08,SEASONAL,SOUTH,
P1 500ML,S1,12/30/2018,80.64,SEASONAL,SOUTH,
P1 500ML,S1,1/27/2019,92.16,SEASONAL,SOUTH,
P1 500ML,S1,2/9/2020,334.9333334,SEASONAL,SOUTH,
P1 500ML,S1,8/9/2020,497.92,SEASONAL,SOUTH,
P1 500ML,S1,8/30/2020,494.08,SEASONAL,SOUTH,
P1 500ML,S1,11/8/2020,46.08,SEASONAL,SOUTH,
P1 500ML,S1,7/11/2021,509.44,SEASONAL,SOUTH,
P1 500ML,S1,8/8/2021,500.48,SEASONAL,SOUTH,
P1 500ML,S1,1/23/2022,34.56,SEASONAL,SOUTH,
P2 4L,S1,5/10/2020,0,CONTINUOUS,WEST,
P2 4L,S1,6/28/2020,0,CONTINUOUS,WEST,
P2 4L,S1,9/13/2020,7.68,CONTINUOUS,WEST,
P2 4L,S1,2/14/2021,0,CONTINUOUS,WEST,
P2 4L,S1,6/27/2021,0,CONTINUOUS,WEST,
P2 4L,S1,9/26/2021,6.4,CONTINUOUS,WEST,
P2 4L,S1,10/31/2021,25.6,CONTINUOUS,WEST,
P2 4L,S1,1/23/2022,64,CONTINUOUS,WEST,
P2 4L,S1,12/9/2018,366.08,CONTINUOUS,EAST,
P2 4L,S1,4/21/2019,215.04,CONTINUOUS,EAST,
P2 4L,S1,10/27/2019,296.96,CONTINUOUS,EAST,
P2 4L,S1,12/8/2019,386.56,CONTINUOUS,EAST,
P2 4L,S1,2/23/2020,304.64,CONTINUOUS,EAST,
P2 4L,S1,2/14/2021,565.76,CONTINUOUS,EAST,
P2 4L,S1,6/20/2021,529.92,CONTINUOUS,EAST,
P2 4L,S1,8/29/2021,0,CONTINUOUS,EAST,
P2 4L,S1,11/14/2021,0,CONTINUOUS,EAST,
P2 4L,S1,1/23/2022,0,CONTINUOUS,EAST,
P1 1L,S1,11/18/2018,217.6,SEASONAL,EAST,
P1 1L,S1,1/19/2020,396.8,SEASONAL,EAST,
P1 1L,S1,4/19/2020,435.2,SEASONAL,EAST,
P1 1L,S1,5/17/2020,1280,SEASONAL,EAST,
P1 1L,S1,7/26/2020,899.2,SEASONAL,EAST,
P1 1L,S1,8/22/2021,3225.6,SEASONAL,EAST,
P1 1L,S1,1/2/2022,460.8,SEASONAL,EAST,
P1 1L,S1,5/19/2019,800,SEASONAL,WEST,
P1 1L,S1,5/24/2020,236.8,SEASONAL,WEST,
P1 1L,S1,12/19/2021,0,SEASONAL,WEST,
P1 1L,S1,8/18/2019,4729.6,SEASONAL,NORTH,
P1 1L,S1,11/10/2019,467.2,SEASONAL,NORTH,
P1 1L,S1,3/29/2020,241.92,SEASONAL,NORTH,
P1 1L,S1,8/30/2020,3225.6,SEASONAL,NORTH,
P1 1L,S1,9/20/2020,2041.6,SEASONAL,NORTH,
P1 1L,S1,11/22/2020,1461.508197,SEASONAL,NORTH,
P1 1L,S1,12/20/2020,134.4,SEASONAL,NORTH,
P1 1L,S1,5/30/2021,4153.6,SEASONAL,NORTH,
P1 500ML,S1,12/15/2019,697.6,SEASONAL,WEST,
P1 500ML,S1,3/1/2020,1697.28,SEASONAL,WEST,
P1 500ML,S1,7/5/2020,33209.6,SEASONAL,WEST,
P1 500ML,S1,11/15/2020,647.68,SEASONAL,WEST,
P1 500ML,S1,4/11/2021,17834.24,SEASONAL,WEST,
P1 500ML,S1,11/7/2021,806.4,SEASONAL,WEST,
P1 500ML,S1,12/19/2021,760.32,SEASONAL,WEST,
P1 500ML,S1,2/24/2019,149.76,SEASONAL,SOUTH,
P1 500ML,S1,6/30/2019,796.16,SEASONAL,SOUTH,
P1 500ML,S1,1/5/2020,46.08,SEASONAL,SOUTH,
P1 500ML,S1,12/20/2020,0,SEASONAL,SOUTH,
P1 500ML,S1,1/31/2021,115.2,SEASONAL,SOUTH,
P1 500ML,S1,5/23/2021,430.08,SEASONAL,SOUTH,
P1 500ML,S1,8/1/2021,652.8,SEASONAL,SOUTH,
P1 500ML,S1,9/26/2021,181.76,SEASONAL,SOUTH,
P2 4L,S1,1/6/2019,307.2,CONTINUOUS,WEST,
P2 4L,S1,1/27/2019,384,CONTINUOUS,WEST,
P2 4L,S1,4/14/2019,307.2,CONTINUOUS,WEST,
P2 4L,S1,5/12/2019,56.32,CONTINUOUS,WEST,
P2 4L,S1,7/28/2019,240.64,CONTINUOUS,WEST,
